FrameSync,DateTime (UTC-07:00),Temperature (Celsius),Conductivity (uS/cm),Pressure (Decibar),Oxygen (mg/L),pH (pH),Chlorophyll (ug/l),Turbidity (NTU),Chlorophyll StdDev (ug/l),Turbidity StdDev (NTU),Salinity (psu),Sound Velocity (m/sec),Spec Conductivity (uS/cm),Oxygen Sat (%),Date,Time (UTC-07:00),Sample Number,Event Flags
HCEP03730715,07/10/2024 12:00:00,  21.3478,  45536.1,    0.768,  6.325,8.93,8.433,2530.897,0.02,4.41,  32.0243, 1521.861,  49124.3,    86.12, 10 Jul 2024, 12:00:00, 599, 0
HCEP03730715,07/10/2024 13:00:00,  21.3599,  45550.8,    0.768,  6.301,8.92,8.404,2529.536,0.02,4.67,  32.0269, 1521.897,  49127.4,    85.82, 10 Jul 2024, 13:00:00, 600, 0
HCEP03730715,07/10/2024 14:00:00,  21.3799,  45573.1,    0.767,  6.294,8.92,8.417,2527.729,0.02,5.15,  32.0295, 1521.953,  49130.2,    85.76, 10 Jul 2024, 14:00:00, 601, 0
HCEP03730715,07/10/2024 15:00:00,  21.4020,  45597.3,    0.767,  6.293,8.91,8.349,2529.380,0.02,5.64,  32.0321, 1522.016,  49132.9,    85.78, 10 Jul 2024, 15:00:00, 602, 0
HCEP03730715,07/10/2024 16:00:00,  21.4331,  45629.8,    0.764,  6.306,8.91,8.362,2530.742,0.02,5.64,  32.0345, 1522.102,  49135.1,    86.01, 10 Jul 2024, 16:00:00, 603, 0
HCEP03730715,07/10/2024 17:00:00,  21.4634,  45661.4,    0.763,  6.296,8.91,8.328,2527.127,0.02,6.18,  32.0366, 1522.186,  49136.9,    85.92, 10 Jul 2024, 17:00:00, 604, 0
HCEP03730715,07/10/2024 18:00:00,  21.4822,  45682.4,    0.762,  6.314,8.90,8.342,2526.137,0.02,6.46,  32.0392, 1522.239,  49139.7,    86.19, 10 Jul 2024, 18:00:00, 605, 0
HCEP03730715,07/10/2024 19:00:00,  21.4944,  45697.4,    0.763,  6.290,8.90,8.302,2521.808,0.02,6.69,  32.0418, 1522.275,  49142.9,    85.88, 10 Jul 2024, 19:00:00, 606, 0
HCEP03730715,07/10/2024 20:00:00,  21.5021,  45708.6,    0.767,  6.291,8.89,8.320,2523.574,0.02,6.64,  32.0448, 1522.299,  49146.8,    85.92, 10 Jul 2024, 20:00:00, 607, 0
HCEP03730715,07/10/2024 21:00:00,  21.5029,  45713.2,    0.773,  6.301,8.89,8.283,2520.875,0.02,6.64,  32.0479, 1522.304,  49150.9,    86.06, 10 Jul 2024, 21:00:00, 608, 0
HCEP03730715,07/10/2024 22:00:00,  21.5005,  45714.6,    0.774,  6.302,8.88,8.303,2522.409,0.02,6.33,  32.0507, 1522.301,  49154.9,    86.06, 10 Jul 2024, 22:00:00, 609, 0
HCEP03730715,07/10/2024 23:00:00,  21.4937,  45712.2,    0.776,  6.321,8.88,8.270,2519.983,0.02,6.18,  32.0540, 1522.286,  49159.6,    86.32, 10 Jul 2024, 23:00:00, 610, 0
HCEP03730715,07/11/2024 00:00:00,  21.4832,  45706.0,    0.780,  6.329,8.87,8.292,2523.321,0.02,6.04,  32.0569, 1522.261,  49164.0,    86.41, 11 Jul 2024, 00:00:00, 611, 0
HCEP03730715,07/11/2024 01:00:00,  21.4694,  45696.6,    0.783,  6.331,8.87,8.260,2519.924,0.02,5.79,  32.0599, 1522.228,  49168.5,    86.42, 11 Jul 2024, 01:00:00, 612, 0
HCEP03730715,07/11/2024 02:00:00,  21.4526,  45685.2,    0.782,  6.337,8.87,8.281,2523.165,0.02,5.79,  32.0633, 1522.187,  49174.0,    86.47, 11 Jul 2024, 02:00:00, 613, 0
HCEP03730715,07/11/2024 03:00:00,  21.4334,  45671.1,    0.784,  6.345,8.86,8.248,2520.894,0.02,5.20,  32.0666, 1522.138,  49179.1,    86.56, 11 Jul 2024, 03:00:00, 614, 0
HCEP03730715,07/11/2024 04:00:00,  21.4094,  45652.6,    0.788,  6.341,8.86,8.270,2521.903,0.02,5.42,  32.0700, 1522.078,  49184.7,    86.47, 11 Jul 2024, 04:00:00, 615, 0
HCEP03730715,07/11/2024 05:00:00,  21.3831,  45632.2,    0.791,  6.371,8.86,8.241,2522.504,0.02,4.85,  32.0735, 1522.011,  49190.5,    86.83, 11 Jul 2024, 05:00:00, 616, 0
HCEP03730715,07/11/2024 06:00:00,  21.3554,  45610.1,    0.795,  6.368,8.85,8.261,2523.824,0.02,4.60,  32.0769, 1521.940,  49196.1,    86.75, 11 Jul 2024, 06:00:00, 617, 0
HCEP03730715,07/11/2024 07:00:00,  21.3271,  45587.2,    0.797,  6.377,8.85,8.233,2520.874,0.02,3.91,  32.0799, 1521.868,  49201.4,    86.83, 11 Jul 2024, 07:00:00, 618, 0
HCEP03730715,07/11/2024 08:00:00,  21.3043,  45569.8,    0.803,  6.390,8.85,8.252,2521.980,0.02,3.76,  32.0834, 1521.810,  49206.9,    86.97, 11 Jul 2024, 08:00:00, 619, 0
HCEP03730715,07/11/2024 09:00:00,  21.2895,  45560.2,    0.804,  6.411,8.84,8.224,2521.397,0.02,3.34,  32.0868, 1521.774,  49212.2,    87.24, 11 Jul 2024, 09:00:00, 620, 0
HCEP03730715,07/11/2024 10:00:00,  21.2874,  45561.8,    0.804,  6.415,8.84,8.243,2520.757,0.02,3.16,  32.0897, 1521.771,  49216.2,    87.29, 11 Jul 2024, 10:00:00, 621, 0
HCEP03730715,07/11/2024 11:00:00,  21.2880,  45565.7,    0.803,  7.313,8.84,8.208,2519.166,0.02,3.76,  32.0923, 1521.776,  49219.8,    99.52, 11 Jul 2024, 11:00:00, 622, 0
HCEP03730715,07/11/2024 12:00:00,  21.2874,  45569.2,    0.802,  6.471,8.83,8.225,2520.058,0.02,3.52,  32.0955, 1521.778,  49224.2,    88.05, 11 Jul 2024, 12:00:00, 623, 0
HCEP03730715,07/11/2024 13:00:00,  21.2962,  45581.1,    0.801,  6.451,8.83,8.196,2516.974,0.02,4.06,  32.0983, 1521.804,  49227.6,    87.79, 11 Jul 2024, 13:00:00, 624, 0
HCEP03730715,07/11/2024 14:00:00,  21.3102,  45597.5,    0.797,  6.430,8.82,8.215,2519.224,0.02,3.84,  32.1007, 1521.845,  49230.5,    87.53, 11 Jul 2024, 14:00:00, 625, 0
HCEP03730715,07/11/2024 15:00:00,  21.3271,  45616.7,    0.791,  6.438,8.82,8.181,2516.897,0.02,4.27,  32.1032, 1521.893,  49233.2,    87.67, 11 Jul 2024, 15:00:00, 626, 0
HCEP03730715,07/11/2024 16:00:00,  21.3467,  45638.9,    0.789,  6.424,8.81,8.171,2441.864,0.02,4.73,  32.1060, 1521.949,  49236.4,    87.51, 11 Jul 2024, 16:00:00, 627, 0
HCEP03730715,07/11/2024 17:00:00,  21.3664,  45660.2,    0.783,  6.416,8.81,8.140,2439.320,0.02,4.60,  32.1081, 1522.004,  49238.4,    87.44, 11 Jul 2024, 17:00:00, 628, 0
HCEP03730715,07/11/2024 18:00:00,  21.3856,  45681.8,    0.782,  6.417,8.81,8.161,2441.425,0.02,5.37,  32.1107, 1522.059,  49241.3,    87.49, 11 Jul 2024, 18:00:00, 629, 0
HCEP03730715,07/11/2024 19:00:00,  21.4034,  45702.5,    0.781,  6.413,8.80,8.129,2439.971,0.02,5.53,  32.1137, 1522.110,  49244.8,    87.45, 11 Jul 2024, 19:00:00, 630, 0
HCEP03730715,07/11/2024 20:00:00,  21.4157,  45717.1,    0.779,  6.412,8.80,8.146,2443.281,0.02,5.58,  32.1160, 1522.145,  49247.5,    87.46, 11 Jul 2024, 20:00:00, 631, 0
HCEP03730715,07/11/2024 21:00:00,  21.4265,  45731.1,    0.779,  6.400,8.79,8.113,2438.901,0.02,5.84,  32.1189, 1522.178,  49251.0,    87.31, 11 Jul 2024, 21:00:00, 632, 0
HCEP03730715,07/11/2024 22:00:00,  21.4274,  45735.5,    0.779,  6.411,8.79,8.132,2441.196,0.02,5.84,  32.1217, 1522.183,  49254.9,    87.47, 11 Jul 2024, 22:00:00, 633, 0
HCEP03730715,07/11/2024 23:00:00,  21.4194,  45732.0,    0.781,  6.408,8.79,8.102,2439.608,0.02,5.37,  32.1249, 1522.165,  49259.5,    87.42, 11 Jul 2024, 23:00:00, 634, 0
HCEP03730715,07/12/2024 00:00:00,  21.4069,  45723.8,    0.782,  6.409,8.78,8.125,2440.335,0.02,5.89,  32.1278, 1522.135,  49264.0,    87.41, 12 Jul 2024, 00:00:00, 635, 0
HCEP03730715,07/12/2024 01:00:00,  21.3902,  45712.3,    0.781,  6.420,8.78,8.090,2439.818,0.02,5.31,  32.1312, 1522.094,  49269.3,    87.54, 12 Jul 2024, 01:00:00, 636, 0
HCEP03730715,07/12/2024 02:00:00,  21.3701,  45697.6,    0.777,  6.427,8.78,8.113,2442.707,0.02,5.15,  32.1347, 1522.043,  49274.8,    87.61, 12 Jul 2024, 02:00:00, 637, 0
HCEP03730715,07/12/2024 03:00:00,  21.3487,  45681.6,    0.781,  6.427,8.77,8.092,2442.859,0.02,5.03,  32.1381, 1521.990,  49280.3,    87.58, 12 Jul 2024, 03:00:00, 638, 0
HCEP03730715,07/12/2024 04:00:00,  21.3244,  45662.8,    0.781,  6.438,8.77,8.113,2443.375,0.02,4.85,  32.1415, 1521.928,  49285.9,    87.69, 12 Jul 2024, 04:00:00, 639, 0
HCEP03730715,07/12/2024 05:00:00,  21.2987,  45642.3,    0.783,  6.441,8.77,8.084,2441.290,0.02,3.84,  32.1446, 1521.862,  49291.0,    87.69, 12 Jul 2024, 05:00:00, 640, 0
HCEP03730715,07/12/2024 06:00:00,  21.2725,  45621.5,    0.785,  6.447,8.76,8.107,2443.452,0.02,3.91,  32.1479, 1521.795,  49296.6,    87.74, 12 Jul 2024, 06:00:00, 641, 0
HCEP03730715,07/12/2024 07:00:00,  21.2485,  45602.6,    0.786,  6.435,8.76,8.081,2444.198,0.02,4.06,  32.1510, 1521.734,  49301.7,    87.53, 12 Jul 2024, 07:00:00, 642, 0
HCEP03730715,07/12/2024 08:00:00,  21.2258,  45585.3,    0.789,  6.450,8.76,8.102,2444.198,0.01,3.43,  32.1543, 1521.676,  49307.2,    87.70, 12 Jul 2024, 08:00:00, 643, 0
HCEP03730715,07/12/2024 09:00:00,  21.2070,  45571.7,    0.789,  6.466,8.75,8.076,2442.992,0.02,3.16,  32.1578, 1521.629,  49312.6,    87.89, 12 Jul 2024, 09:00:00, 644, 0
HCEP03730715,07/12/2024 10:00:00,  21.1970,  45566.3,    0.786,  6.461,8.75,8.098,2445.173,0.02,3.52,  32.1609, 1521.606,  49317.3,    87.81, 12 Jul 2024, 10:00:00, 645, 0
HCEP03730715,07/12/2024 11:00:00,  21.1977,  45570.6,    0.783,  6.425,8.75,8.351,2630.825,0.03,3.68,  32.1638, 1521.611,  49321.2,    87.32, 12 Jul 2024, 11:00:00, 646, 0
HCEP03730715,07/12/2024 12:00:00,  21.2025,  45578.5,    0.781,  6.486,8.74,8.312,2588.712,0.03,3.16,  32.1665, 1521.626,  49324.7,    88.16, 12 Jul 2024, 12:00:00, 647, 0
HCEP03730715,07/12/2024 13:00:00,  21.2140,  45592.6,    0.777,  6.505,8.74,8.231,2570.910,0.02,3.76,  32.1690, 1521.660,  49327.8,    88.44, 12 Jul 2024, 13:00:00, 648, 0
HCEP03730715,07/12/2024 14:00:00,  21.2331,  45613.6,    0.772,  6.528,8.74,8.391,2474.952,0.03,6.86,  32.1711, 1521.714,  49329.9,    88.78, 12 Jul 2024, 14:00:00, 649, 0
HCEP03730715,07/12/2024 15:00:00,  21.2573,  45639.4,    0.769,  6.454,8.73,8.309,2458.747,0.02,5.03,  32.1734, 1521.782,  49332.2,    87.82, 12 Jul 2024, 15:00:00, 650, 0
HCEP03730715,07/12/2024 16:00:00,  21.2861,  45669.1,    0.766,  6.471,8.73,8.307,2446.479,0.02,6.64,  32.1752, 1521.862,  49333.5,    88.09, 12 Jul 2024, 16:00:00, 651, 0
HCEP03730715,07/12/2024 17:00:00,  21.3117,  45696.5,    0.759,  6.454,8.73,8.303,2428.763,0.04,10.96,  32.1776, 1521.933,  49335.8,    87.90, 12 Jul 2024, 17:00:00, 652, 0
HCEP03730715,07/12/2024 18:00:00,  21.3333,  45719.9,    0.756,  6.436,8.72,8.278,2416.003,0.02,6.99,  32.1798, 1521.994,  49338.1,    87.70, 12 Jul 2024, 18:00:00, 653, 0
HCEP03730715,07/12/2024 19:00:00,  21.3512,  45739.8,    0.754,  6.431,8.72,8.227,2399.766,0.03,5.74,  32.1821, 1522.044,  49340.5,    87.65, 12 Jul 2024, 19:00:00, 654, 0
HCEP03730715,07/12/2024 20:00:00,  21.3684,  45759.3,    0.751,  6.449,8.72,8.178,2371.600,0.04,9.82,  32.1845, 1522.094,  49343.2,    87.93, 12 Jul 2024, 20:00:00, 655, 0
HCEP03730715,07/12/2024 21:00:00,  21.3846,  45777.7,    0.749,  6.442,8.71,8.095,2357.156,0.03,8.81,  32.1869, 1522.140,  49345.8,    87.86, 12 Jul 2024, 21:00:00, 656, 0
HCEP03730715,07/12/2024 22:00:00,  21.3943,  45790.6,    0.751,  6.414,8.71,8.110,2351.904,0.02,7.86,  32.1898, 1522.169,  49349.4,    87.50, 12 Jul 2024, 22:00:00, 657, 0
HCEP03730715,07/12/2024 23:00:00,  21.3978,  45797.3,    0.752,  6.411,8.71,8.079,2345.373,0.05,13.13,  32.1924, 1522.181,  49352.9,    87.46, 12 Jul 2024, 23:00:00, 658, 0
HCEP03730715,07/13/2024 00:00:00,  21.3984,  45801.1,    0.757,  6.410,8.70,8.065,2339.541,0.03,7.32,  32.1950, 1522.186,  49356.3,    87.44, 13 Jul 2024, 00:00:00, 659, 0
HCEP03730715,07/13/2024 01:00:00,  21.3929,  45799.4,    0.753,  6.360,8.70,8.035,2328.090,0.03,7.67,  32.1977, 1522.174,  49360.3,    86.76, 13 Jul 2024, 01:00:00, 660, 0
HCEP03730715,07/13/2024 02:00:00,  21.3842,  45794.7,    0.749,  6.398,8.70,8.056,2330.203,0.02,5.64,  32.2006, 1522.153,  49364.6,    87.27, 13 Jul 2024, 02:00:00, 661, 0
HCEP03730715,07/13/2024 03:00:00,  21.3725,  45787.3,    0.753,  6.384,8.69,7.983,2315.318,0.02,7.07,  32.2035, 1522.125,  49369.1,    87.06, 13 Jul 2024, 03:00:00, 662, 0
HCEP03730715,07/13/2024 04:00:00,  21.3575,  45776.3,    0.753,  6.376,8.69,8.002,2310.409,0.04,7.16,  32.2061, 1522.088,  49373.1,    86.92, 13 Jul 2024, 04:00:00, 663, 0
HCEP03730715,07/13/2024 05:00:00,  21.3404,  45764.5,    0.755,  6.384,8.69,7.917,2297.868,0.02,7.44,  32.2096, 1522.046,  49378.6,    87.02, 13 Jul 2024, 05:00:00, 664, 0
HCEP03730715,07/13/2024 06:00:00,  21.3224,  45750.4,    0.757,  6.386,8.68,8.003,2306.937,0.02,5.74,  32.2120, 1522.000,  49382.6,    87.02, 13 Jul 2024, 06:00:00, 665, 0
HCEP03730715,07/13/2024 07:00:00,  21.3071,  45739.9,    0.758,  6.376,8.68,7.920,2297.698,0.01,4.97,  32.2152, 1521.962,  49387.6,    86.86, 13 Jul 2024, 07:00:00, 666, 0
HCEP03730715,07/13/2024 08:00:00,  21.2978,  45734.2,    0.763,  6.374,8.68,7.944,2292.958,0.03,7.75,  32.2177, 1521.940,  49391.3,    86.81, 13 Jul 2024, 08:00:00, 667, 0
HCEP03730715,07/13/2024 09:00:00,  21.2916,  45731.7,    0.762,  6.365,8.67,7.921,2288.514,0.02,5.89,  32.2204, 1521.926,  49395.2,    86.68, 13 Jul 2024, 09:00:00, 668, 0
HCEP03730715,07/13/2024 10:00:00,  21.2909,  45734.4,    0.760,  6.381,8.67,7.957,2290.540,0.03,6.46,  32.2231, 1521.927,  49398.9,    86.90, 13 Jul 2024, 10:00:00, 669, 0
HCEP03730715,07/13/2024 11:00:00,  21.2910,  45738.1,    0.760,  6.368,8.67,7.899,2285.320,0.02,5.09,  32.2260, 1521.931,  49402.9,    86.73, 13 Jul 2024, 11:00:00, 670, 0
HCEP03730715,07/13/2024 12:00:00,  21.2959,  45745.9,    0.757,  6.390,8.67,7.928,2286.452,0.03,5.37,  32.2284, 1521.947,  49406.0,    87.03, 13 Jul 2024, 12:00:00, 671, 0
HCEP03730715,07/13/2024 13:00:00,  21.3049,  45757.7,    0.757,  6.382,8.66,7.882,2281.404,0.02,4.91,  32.2309, 1521.974,  49409.0,    86.93, 13 Jul 2024, 13:00:00, 672, 0
HCEP03730715,07/13/2024 14:00:00,  21.3219,  45776.7,    0.754,  6.368,8.66,7.862,2269.530,0.02,5.79,  32.2331, 1522.022,  49411.5,    86.77, 13 Jul 2024, 14:00:00, 673, 0
HCEP03730715,07/13/2024 15:00:00,  21.3487,  45804.9,    0.750,  6.375,8.66,7.839,2272.639,0.01,4.85,  32.2352, 1522.096,  49413.3,    86.91, 13 Jul 2024, 15:00:00, 674, 0
HCEP03730715,07/13/2024 16:00:00,  21.3825,  45839.5,    0.747,  6.344,8.65,7.880,2272.493,0.01,7.40,  32.2371, 1522.189,  49414.7,    86.54, 13 Jul 2024, 16:00:00, 675, 0
HCEP03730715,07/13/2024 17:00:00,  21.4144,  45872.3,    0.742,  6.337,8.65,7.838,2267.587,0.01,5.48,  32.2390, 1522.277,  49416.0,    86.50, 13 Jul 2024, 17:00:00, 676, 0
HCEP03730715,07/13/2024 18:00:00,  21.4390,  45898.7,    0.739,  6.336,8.65,7.840,2261.448,0.01,3.34,  32.2413, 1522.346,  49418.3,    86.53, 13 Jul 2024, 18:00:00, 677, 0
HCEP03730715,07/13/2024 19:00:00,  21.4644,  45925.0,    0.738,  6.361,8.64,7.805,2258.570,0.02,5.89,  32.2429, 1522.416,  49419.6,    86.91, 13 Jul 2024, 19:00:00, 678, 0
HCEP03730715,07/13/2024 20:00:00,  21.4828,  45945.8,    0.736,  6.333,8.64,7.862,2268.291,0.02,6.33,  32.2454, 1522.468,  49422.4,    86.55, 13 Jul 2024, 20:00:00, 679, 0
HCEP03730715,07/13/2024 21:00:00,  21.4987,  45963.7,    0.737,  6.314,8.64,7.818,2261.082,0.02,5.79,  32.2476, 1522.513,  49424.7,    86.32, 13 Jul 2024, 21:00:00, 680, 0
HCEP03730715,07/13/2024 22:00:00,  21.5077,  45975.8,    0.737,  6.333,8.63,7.811,2251.329,0.04,11.22,  32.2503, 1522.540,  49428.2,    86.60, 13 Jul 2024, 22:00:00, 681, 0
HCEP03730715,07/13/2024 23:00:00,  21.5166,  45987.2,    0.737,  6.339,8.63,7.774,2251.089,0.03,11.43,  32.2527, 1522.566,  49431.0,    86.70, 13 Jul 2024, 23:00:00, 682, 0
HCEP03730715,07/14/2024 00:00:00,  21.5190,  45993.0,    0.738,  6.325,8.63,7.812,2253.403,0.02,5.31,  32.2553, 1522.576,  49434.6,    86.51, 14 Jul 2024, 00:00:00, 683, 0
HCEP03730715,07/14/2024 01:00:00,  21.5169,  45994.4,    0.741,  6.345,8.63,7.824,2258.570,0.02,6.23,  32.2580, 1522.573,  49438.4,    86.78, 14 Jul 2024, 01:00:00, 684, 0
HCEP03730715,07/14/2024 02:00:00,  21.5107,  45991.8,    0.740,  6.294,8.62,7.800,2252.245,0.02,8.37,  32.2606, 1522.559,  49442.2,    86.07, 14 Jul 2024, 02:00:00, 685, 0
HCEP03730715,07/14/2024 03:00:00,  21.5017,  45987.2,    0.737,  6.284,8.62,7.799,2257.167,0.02,5.89,  32.2638, 1522.539,  49446.8,    85.93, 14 Jul 2024, 03:00:00, 686, 0
HCEP03730715,07/14/2024 04:00:00,  21.4889,  45978.5,    0.740,  6.271,8.62,7.820,2254.828,0.02,8.71,  32.2665, 1522.507,  49451.1,    85.74, 14 Jul 2024, 04:00:00, 687, 0
HCEP03730715,07/14/2024 05:00:00,  21.4745,  45968.8,    0.744,  6.296,8.61,7.777,2254.472,0.02,4.47,  32.2697, 1522.472,  49455.9,    86.05, 14 Jul 2024, 05:00:00, 688, 0
HCEP03730715,07/14/2024 06:00:00,  21.4608,  45959.2,    0.749,  6.280,8.61,7.804,2255.524,0.03,5.79,  32.2725, 1522.439,  49460.2,    85.82, 14 Jul 2024, 06:00:00, 689, 0
HCEP03730715,07/14/2024 07:00:00,  21.4493,  45952.1,    0.753,  6.301,8.61,7.778,2253.161,0.02,3.60,  32.2755, 1522.411,  49464.8,    86.08, 14 Jul 2024, 07:00:00, 690, 0
HCEP03730715,07/14/2024 08:00:00,  21.4430,  45949.7,    0.757,  6.291,8.60,7.809,2252.336,0.02,7.40,  32.2783, 1522.398,  49468.9,    85.93, 14 Jul 2024, 08:00:00, 691, 0
HCEP03730715,07/14/2024 09:00:00,  21.4419,  45951.9,    0.757,  6.306,8.60,7.769,2248.572,0.02,4.20,  32.2809, 1522.397,  49472.5,    86.13, 14 Jul 2024, 09:00:00, 692, 0
HCEP03730715,07/14/2024 10:00:00,  21.4427,  45956.0,    0.759,  6.304,8.60,7.800,2256.653,0.02,7.82,  32.2835, 1522.402,  49476.0,    86.11, 14 Jul 2024, 10:00:00, 693, 0
HCEP03730715,07/14/2024 11:00:00,  21.4482,  45964.4,    0.758,  6.313,8.60,7.755,2251.723,0.02,3.91,  32.2860, 1522.420,  49479.2,    86.24, 14 Jul 2024, 11:00:00, 694, 0
HCEP03730715,07/14/2024 12:00:00,  21.4560,  45974.8,    0.760,  6.315,8.59,7.790,2251.377,0.02,7.03,  32.2882, 1522.444,  49482.0,    86.29, 14 Jul 2024, 12:00:00, 695, 0
HCEP03730715,07/14/2024 13:00:00,  21.4672,  45988.8,    0.758,  6.303,8.59,7.746,2248.408,0.02,6.04,  32.2909, 1522.476,  49485.3,    86.15, 14 Jul 2024, 13:00:00, 696, 0
HCEP03730715,07/14/2024 14:00:00,  21.4863,  46010.3,    0.756,  6.309,8.59,7.774,2251.265,0.02,5.89,  32.2934, 1522.530,  49487.9,    86.26, 14 Jul 2024, 14:00:00, 697, 0
HCEP03730715,07/14/2024 15:00:00,  21.5130,  46038.6,    0.756,  6.300,8.59,7.704,2237.696,0.02,4.41,  32.2957, 1522.604,  49490.1,    86.18, 14 Jul 2024, 15:00:00, 698, 0
HCEP03730715,07/14/2024 16:00:00,  21.5445,  46071.2,    0.756,  6.315,8.58,7.727,2239.406,0.02,5.09,  32.2976, 1522.691,  49491.6,    86.43, 14 Jul 2024, 16:00:00, 699, 0
HCEP03730715,07/14/2024 17:00:00,  21.5749,  46103.3,    0.752,  6.335,8.58,7.704,2236.356,0.02,6.09,  32.2999, 1522.775,  49493.6,    86.76, 14 Jul 2024, 17:00:00, 700, 0
HCEP03730715,07/14/2024 18:00:00,  21.6006,  46130.7,    0.749,  6.288,8.58,7.736,2239.609,0.02,5.09,  32.3022, 1522.846,  49495.9,    86.15, 14 Jul 2024, 18:00:00, 701, 0
HCEP03730715,07/14/2024 19:00:00,  21.6230,  46155.0,    0.748,  6.303,8.57,7.696,2237.038,0.02,7.86,  32.3045, 1522.908,  49498.2,    86.39, 14 Jul 2024, 19:00:00, 702, 0
HCEP03730715,07/14/2024 20:00:00,  21.6439,  46178.1,    0.749,  6.295,8.57,7.729,2235.587,0.02,8.15,  32.3068, 1522.967,  49500.7,    86.32, 14 Jul 2024, 20:00:00, 703, 0
HCEP03730715,07/14/2024 21:00:00,  21.6582,  46194.7,    0.751,  6.311,8.57,7.686,2234.923,0.02,6.69,  32.3092, 1523.007,  49503.3,    86.56, 14 Jul 2024, 21:00:00, 704, 0
HCEP03730715,07/14/2024 22:00:00,  21.6627,  46202.7,    0.756,  6.299,8.57,7.718,2236.357,0.01,6.78,  32.3121, 1523.023,  49507.1,    86.41, 14 Jul 2024, 22:00:00, 705, 0
HCEP03730715,07/14/2024 23:00:00,  21.6613,  46205.1,    0.759,  6.277,8.56,7.676,2234.720,0.02,5.53,  32.3150, 1523.022,  49511.2,    86.10, 14 Jul 2024, 23:00:00, 706, 0
HCEP03730715,07/15/2024 00:00:00,  21.6531,  46200.7,    0.763,  6.283,8.56,7.711,2238.324,0.02,7.86,  32.3177, 1523.003,  49515.2,    86.17, 15 Jul 2024, 00:00:00, 707, 0
HCEP03730715,07/15/2024 01:00:00,  21.6407,  46193.0,    0.769,  6.293,8.56,7.672,2238.873,0.02,4.67,  32.3209, 1522.974,  49520.0,    86.29, 15 Jul 2024, 01:00:00, 708, 0
HCEP03730715,07/15/2024 02:00:00,  21.6261,  46182.6,    0.772,  6.307,8.56,7.694,2236.395,0.03,8.26,  32.3237, 1522.938,  49524.4,    86.47, 15 Jul 2024, 02:00:00, 709, 0
HCEP03730715,07/15/2024 03:00:00,  21.6092,  46170.6,    0.774,  6.296,8.55,7.672,2239.501,0.02,6.99,  32.3270, 1522.897,  49529.5,    86.29, 15 Jul 2024, 03:00:00, 710, 0
HCEP03730715,07/15/2024 04:00:00,  21.5921,  46158.1,    0.776,  6.303,8.55,7.686,2234.481,0.02,5.94,  32.3300, 1522.854,  49534.3,    86.36, 15 Jul 2024, 04:00:00, 711, 0
HCEP03730715,07/15/2024 05:00:00,  21.5740,  46145.0,    0.777,  6.319,8.55,7.668,2242.330,0.02,3.16,  32.3333, 1522.810,  49539.5,    86.56, 15 Jul 2024, 05:00:00, 712, 0
HCEP03730715,07/15/2024 06:00:00,  21.5549,  46130.3,    0.781,  6.311,8.55,7.685,2240.734,0.02,7.56,  32.3361, 1522.762,  49543.9,    86.41, 15 Jul 2024, 06:00:00, 713, 0
HCEP03730715,07/15/2024 07:00:00,  21.5379,  46117.6,    0.783,  6.314,8.55,7.657,2245.222,0.02,6.73,  32.3389, 1522.719,  49548.4,    86.44, 15 Jul 2024, 07:00:00, 714, 0
HCEP03730715,07/15/2024 08:00:00,  21.5227,  46107.3,    0.789,  6.305,8.54,7.684,2243.012,0.02,5.26,  32.3422, 1522.682,  49553.5,    86.29, 15 Jul 2024, 08:00:00, 715, 0
HCEP03730715,07/15/2024 09:00:00,  21.5114,  46099.7,    0.791,  6.359,8.54,7.664,2244.667,0.02,3.68,  32.3448, 1522.655,  49557.4,    87.01, 15 Jul 2024, 09:00:00, 716, 0
HCEP03730715,07/15/2024 10:00:00,  21.5008,  46093.2,    0.793,  6.322,8.54,7.680,2247.319,0.02,3.34,  32.3477, 1522.630,  49561.8,    86.48, 15 Jul 2024, 10:00:00, 717, 0
HCEP03730715,07/15/2024 11:00:00,  21.4897,  46086.4,    0.793,  6.327,8.54,7.649,2245.000,0.02,4.79,  32.3506, 1522.603,  49566.2,    86.54, 15 Jul 2024, 11:00:00, 718, 0
HCEP03730715,07/15/2024 12:00:00,  21.4845,  46085.2,    0.790,  6.329,8.53,7.669,2242.478,0.02,4.47,  32.3536, 1522.593,  49570.5,    86.56, 15 Jul 2024, 12:00:00, 719, 0
HCEP03730715,07/15/2024 13:00:00,  21.4858,  46089.9,    0.790,  6.346,8.53,7.662,2266.125,0.02,4.34,  32.3564, 1522.599,  49574.2,    86.80, 15 Jul 2024, 13:00:00, 720, 0
HCEP03730715,07/15/2024 14:00:00,  21.4909,  46098.3,    0.786,  6.356,8.53,7.684,2270.140,0.02,5.31,  32.3591, 1522.616,  49577.8,    86.95, 15 Jul 2024, 14:00:00, 721, 0
HCEP03730715,07/15/2024 15:00:00,  21.5002,  46111.0,    0.783,  6.342,8.53,7.648,2265.126,0.02,3.76,  32.3621, 1522.644,  49581.5,    86.77, 15 Jul 2024, 15:00:00, 722, 0
HCEP03730715,07/15/2024 16:00:00,  21.5126,  46126.1,    0.779,  6.341,8.52,7.670,2264.203,0.02,4.97,  32.3646, 1522.680,  49584.5,    86.78, 15 Jul 2024, 16:00:00, 723, 0
